id,title,description,severity,scanner,scanner_type,rule_id,file_path,line_start,line_end,cve_id,cwe_id,fix_available,is_suppressed,suppression_kind,suppression_justification,detected_at,code_snippet,tags,properties,references,raw_data
bandit-B307-8584,B307,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,bandit,UNKNOWN,B307,/D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/app.py,11,13,,,,False,,,2026-07-07T08:50:37.841444+00:00,eval(user_input),"[""bandit""]","{""tags"": [""bandit""], ""issue_confidence"": ""HIGH"", ""issue_severity"": ""MEDIUM"", ""scanner_name"": ""bandit"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""bandit"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:08.719909+00:00"", ""end_time"": ""2026-07-07T08:50:13.129375+00:00""}}}",,"{""ruleId"":""B307"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""Use of possibly insecure function - consider using safer ast.literal_eval."",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""/D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/app.py"",""index"":-1},""region"":{""startLine"":12,""startColumn"":1,""endLine"":12,""endColumn"":17,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""eval(user_input)\n""}},""contextRegion"":{""startLine"":11,""endLine"":13,""charOffset"":-1,""byteOffset"":-1,""snippet"":{""text"":""\neval(user_input)\n\n""}}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""bandit""],""issue_confidence"":""HIGH"",""issue_severity"":""MEDIUM"",""scanner_name"":""bandit"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""bandit"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:08.719909+00:00"",""end_time"":""2026-07-07T08:50:13.129375+00:00""}}}}"
grype-GHSA-562c-5r94-xh97-flask-7746,GHSA-562c-5r94-xh97-flask,"A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-562c-5r94-xh97-flask,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-562c-5r94-xh97-flask"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""82565eb0738d51b1400c942d6e8acb10eadbb1c9ca2d4d7e9919770bdb9efd50:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-mh33-7rrq-662w-urllib3-4616,GHSA-mh33-7rrq-662w-urllib3,"A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-mh33-7rrq-662w-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-mh33-7rrq-662w-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-38jv-5279-wg99-urllib3-4616,GHSA-38jv-5279-wg99-urllib3,"A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-38jv-5279-wg99-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-38jv-5279-wg99-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-5wv5-4vpf-pj6m-flask-7746,GHSA-5wv5-4vpf-pj6m-flask,"A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-5wv5-4vpf-pj6m-flask,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-5wv5-4vpf-pj6m-flask"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""82565eb0738d51b1400c942d6e8acb10eadbb1c9ca2d4d7e9919770bdb9efd50:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-wqvq-5m8c-6g24-urllib3-9533,GHSA-wqvq-5m8c-6g24-urllib3,"A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",MEDIUM,grype,UNKNOWN,GHSA-wqvq-5m8c-6g24-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-wqvq-5m8c-6g24-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""warning"",""message"":{""text"":""A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-r64q-w8jr-g9qp-urllib3-9533,GHSA-r64q-w8jr-g9qp-urllib3,"A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",MEDIUM,grype,UNKNOWN,GHSA-r64q-w8jr-g9qp-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-r64q-w8jr-g9qp-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""warning"",""message"":{""text"":""A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-m2qf-hxjv-5gpq-flask-7746,GHSA-m2qf-hxjv-5gpq-flask,"A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-m2qf-hxjv-5gpq-flask,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-m2qf-hxjv-5gpq-flask"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: flask, version 0.12.0 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""82565eb0738d51b1400c942d6e8acb10eadbb1c9ca2d4d7e9919770bdb9efd50:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-v845-jxx5-vc9f-urllib3-4616,GHSA-v845-jxx5-vc9f-urllib3,"A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",HIGH,grype,UNKNOWN,GHSA-v845-jxx5-vc9f-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-v845-jxx5-vc9f-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""error"",""message"":{""text"":""A high vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
grype-GHSA-34jh-p97f-mpxf-urllib3-9533,GHSA-34jh-p97f-mpxf-urllib3,"A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\requirements.txt",MEDIUM,grype,UNKNOWN,GHSA-34jh-p97f-mpxf-urllib3,requirements.txt,1,1,,,,False,,,2026-07-07T08:50:37.841444+00:00,,"[""grype""]","{""tags"": [""grype""], ""scanner_name"": ""grype"", ""scanner_version"": ""3.5.4"", ""scanner_details"": {""tool_name"": ""grype"", ""tool_version"": ""3.5.4"", ""tool_invocation"": {""start_time"": ""2026-07-07T08:50:09.357143+00:00"", ""end_time"": ""2026-07-07T08:50:26.092189+00:00""}}}",,"{""ruleId"":""GHSA-34jh-p97f-mpxf-urllib3"",""ruleIndex"":-1,""kind"":""fail"",""level"":""warning"",""message"":{""text"":""A medium vulnerability in python package: urllib3, version 1.24 was found at: D:/Dhanush/Custom_Agents/ash-security-platform-test/ash-security-platform-test/\\requirements.txt"",""arguments"":[]},""locations"":[{""id"":-1,""physicalLocation"":{""artifactLocation"":{""uri"":""requirements.txt"",""index"":-1},""region"":{""startLine"":1,""startColumn"":1,""endLine"":1,""endColumn"":1,""charOffset"":-1,""byteOffset"":-1}},""logicalLocations"":[],""annotations"":[],""relationships"":[]}],""partialFingerprints"":{""primaryLocationLineHash"":""476104d86861d672f8b956312bb5165a70dbf83543dbc2cb643b39d664cef8d3:1""},""stacks"":[],""codeFlows"":[],""graphs"":[],""graphTraversals"":[],""relatedLocations"":[],""rank"":-1.0,""attachments"":[],""fixes"":[],""taxa"":[],""properties"":{""tags"":[""grype""],""scanner_name"":""grype"",""scanner_version"":""3.5.4"",""scanner_details"":{""tool_name"":""grype"",""tool_version"":""3.5.4"",""tool_invocation"":{""start_time"":""2026-07-07T08:50:09.357143+00:00"",""end_time"":""2026-07-07T08:50:26.092189+00:00""}}}}"
